Lagilis,Palgirus,Cocellatus,Zvivipara,Ckingii,Ggalloti_Gilbert
-0.762514329,-0.724126268,0.89017745,-1.864739369,,0.036872487
-1.425991135,1.172338957,0.904401797,-2.000170021,,-0.599966102
-0.555832883,-0.349475977,0.926318482,-1.583911308,,-0.612074814
0.98390104,6.013462663,0.938259749,-1.462551373,,-0.546248054
-0.530237949,-0.469091493,0.951715036,-0.294271459,,-0.60555702
0.192071629,-0.716421356,1.034243917,-1.921608517,,-0.587270488
-0.624602526,0.219399297,1.047819511,-0.199176863,,-0.245877417
0.060658503,-0.13812258,1.099575005,-1.696477044,,-0.341558037
1.441732364,-0.339595339,1.117849044,-1.020496345,,-0.321356592
-0.170141264,-0.021520636,1.13322609,-2.236440812,,-0.563139425
-0.748075362,-0.544059503,1.242043951,-0.184930262,,-0.27153708
0.335377127,-0.492115922,1.457177489,-0.903240369,,-0.33310057
-0.148822789,-0.126584627,1.503650138,-0.020009732,,-0.496716205
0.429323702,0.339097046,1.515899687,-0.301365446,,-0.176908613
-0.911564003,-0.276126433,1.587922525,-1.368160312,,0.394102848
1.383998353,0.337954965,1.719968742,-1.102575528,,0.15612182
-0.55061769,0.548457969,1.79638764,-0.109007018,,-0.051565692
-0.883473793,-0.496272811,1.868633222,-0.736150604,,0.974040164
-0.797142293,0.105262842,2.433567331,-1.058018257,,1.158811317
-0.837388605,-0.135938889,-1.563462524,0.079540591,,0.720669362
-1.239102432,-0.603589486,-1.556717943,0.755345407,,-0.364685312
-0.266737904,0.094822015,-1.488838636,-0.479360017,,-0.346168622
-0.448611814,-0.603780675,-1.331628421,0.141217234,,1.245633981
-0.722914479,-0.582448839,-1.298168072,0.491402206,,-0.241119283
-1.330038699,0.085839004,-1.2344391,0.907191895,,-0.020223087
0.399361476,-0.317621718,-1.141587774,-0.295326763,,-0.410368696
-0.980189531,-0.348398084,-1.006601212,0.153353228,,-0.327942018
-0.66028245,-0.247869125,-0.975541234,0.33392743,,0.446812368
-0.620571904,-0.582206397,-0.744697101,-1.312463724,,-0.144390654
-0.394150544,,-0.60590348,-1.079124332,,-0.030706056
-0.608436813,,-0.604467964,0.184484689,,-0.072077693
