Sample,scg,tel,eff.scg,eff.tel,plate,ref.tel,ref.scg
CT10.12,17.903,12.755,1.839,1.907,3,11.226,17.531
CT10.12,17.903,12.755,1.839,1.907,3,11.226,17.531
CT10.13,18.089,12.558,1.839,1.907,3,11.226,17.531
CT10.13,18.089,12.558,1.839,1.907,3,11.226,17.531
CT10.13,18.089,12.558,1.839,1.907,3,11.226,17.531
CT10.14,16.615,10.32,1.839,1.907,3,11.226,17.531
CT10.14,16.615,10.32,1.839,1.907,3,11.226,17.531
CT10.14,16.615,10.32,1.839,1.907,3,11.226,17.531
CT10.15,15.688,11.726,1.839,1.907,3,11.226,17.531
CT10.15,15.688,11.726,1.839,1.907,3,11.226,17.531
CT10.15,15.688,11.726,1.839,1.907,3,11.226,17.531
22.CT2,19.187,8.054,1.847,1.848,1,8.581,17.333
22.CT2,19.187,8.054,1.847,1.848,1,8.581,17.333
22.CT2,19.187,8.054,1.847,1.848,1,8.581,17.333
CT2,20.204,11.465,1.839,1.907,3,11.226,17.531
CT2,20.204,11.465,1.839,1.907,3,11.226,17.531
CT2,20.204,11.465,1.839,1.907,3,11.226,17.531
22.CT3,17.122,8.908,1.847,1.848,1,8.581,17.333
22.CT3,17.122,8.908,1.847,1.848,1,8.581,17.333
22.CT3,17.122,8.908,1.847,1.848,1,8.581,17.333
CT3,20.209,11.863,1.839,1.907,3,11.226,17.531
CT3,20.209,11.863,1.839,1.907,3,11.226,17.531
CT3,20.209,11.863,1.839,1.907,3,11.226,17.531
22.CT4,18.925,7.446,1.847,1.848,1,8.581,17.333
22.CT4,18.925,7.446,1.847,1.848,1,8.581,17.333
22.CT4,18.925,7.446,1.847,1.848,1,8.581,17.333
CT4,17.042,13.099,1.839,1.907,3,11.226,17.531
CT4,17.042,13.099,1.839,1.907,3,11.226,17.531
CT4,17.042,13.099,1.839,1.907,3,11.226,17.531
22.CT5,16.862,8.534,1.847,1.848,1,8.581,17.333
22.CT5,16.862,8.534,1.847,1.848,1,8.581,17.333
22.CT5,16.862,8.534,1.847,1.848,1,8.581,17.333
CT5,18.317,10.098,1.839,1.907,3,11.226,17.531
CT5,18.317,10.098,1.839,1.907,3,11.226,17.531
CT5,18.317,10.098,1.839,1.907,3,11.226,17.531
22.CT6,19.32,7.887,1.847,1.848,1,8.581,17.333
22.CT6,19.32,7.887,1.847,1.848,1,8.581,17.333
22.CT6,19.32,7.887,1.847,1.848,1,8.581,17.333
CT6,18.758,14.024,1.839,1.907,3,11.226,17.531
CT6,18.758,14.024,1.839,1.907,3,11.226,17.531
CT6,18.758,14.024,1.839,1.907,3,11.226,17.531
22.CT7,18.195,7.888,1.847,1.848,1,8.581,17.333
22.CT7,18.195,7.888,1.847,1.848,1,8.581,17.333
22.CT7,18.195,7.888,1.847,1.848,1,8.581,17.333
CT7,19.82,12.008,1.839,1.907,3,11.226,17.531
CT7,19.82,12.008,1.839,1.907,3,11.226,17.531
CT7,19.82,12.008,1.839,1.907,3,11.226,17.531
