,Sample,scg,tel,eff.scg,eff.tel,plate,ref.tel,ref.scg,tel.cq,scg.cq,top,bottom,ratio,ratio2,mean,sd,zscore
50,BT42.172,18.247,11.807,1.839,1.907,3,11.226,17.531,-0.581,-0.716,0.687252372,0.646486532,1.063057524,1.063057524,,,-0.237424887
56,BT5,18.723,9.475,1.847,1.848,1,8.581,17.333,-0.894,-1.39,0.577521879,0.426197615,1.35505657,1.35505657,,,-0.117260671
57,BT6,20.532,9.592,1.847,1.848,1,8.581,17.333,-1.011,-3.199,0.537482479,0.140466384,3.826413587,3.826413587,,,0.899758678
58,BT7,18.563,24.237,1.847,1.848,1,8.581,17.333,-15.656,-1.23,6.68E-05,0.470160044,0.000141993,0.000141993,,,-0.674838686
59,BT8,18.301,7.772,1.847,1.848,1,8.581,17.333,0.809,-0.968,1.643470418,0.552153774,2.976472305,2.976472305,,,0.549988603
60,BT9,16.849,9.47,1.847,1.848,1,8.581,17.333,-0.889,0.484,0.579297896,1.345767318,0.43045918,0.43045918,,,-0.497753424
61,CT10,19.832,8.692,1.847,1.848,1,8.581,17.333,-0.111,-2.499,0.934105828,0.215823747,4.328095683,4.328095683,,,1.106212215
62,CT10.10,16.847,12.177,1.839,1.907,3,11.226,17.531,-0.951,0.684,0.54123577,1.516959209,0.35678993,0.35678993,,,-0.528069988
63,CT10.11,18.861,12.973,1.839,1.907,3,11.226,17.531,-1.747,-1.33,0.323763092,0.444740111,0.727982667,0.727982667,,,-0.375315775
64,CT10.12,17.903,12.755,1.839,1.907,3,11.226,17.531,-1.529,-0.372,0.372686611,0.797215248,0.467485552,0.467485552,,,-0.482516234
65,CT10.13,18.089,12.558,1.839,1.907,3,11.226,17.531,-1.332,-0.558,0.423226523,0.711808869,0.594578884,0.594578884,,,-0.430214451
66,CT10.14,16.615,10.32,1.839,1.907,3,11.226,17.531,0.906,0.916,1.794724237,1.747257301,1.02716654,1.02716654,,,-0.252194839
67,CT10.15,15.688,11.726,1.839,1.907,3,11.226,17.531,-0.5,1.843,0.724143528,3.073435667,0.235613693,0.235613693,,,-0.577936752
68,CT2,20.204,11.465,1.839,1.907,3,11.226,17.531,-0.239,-2.673,0.857030315,0.196233449,4.367401778,4.367401778,,,1.122387563
69,CT3,20.209,11.863,1.839,1.907,3,11.226,17.531,-0.637,-2.678,0.662852057,0.19563661,3.388180038,3.388180038,,,0.719415654
70,CT4,17.042,13.099,1.839,1.907,3,11.226,17.531,-1.873,0.489,0.298471695,1.347039918,0.221575984,0.221575984,,,-0.583713587
71,CT5,18.317,10.098,1.839,1.907,3,11.226,17.531,1.128,-0.786,2.071264595,0.619496363,3.343465305,3.343465305,,,0.701014529
72,CT6,18.758,14.024,1.839,1.907,3,11.226,17.531,-2.798,-1.227,0.164277756,0.473541688,0.346912974,0.346912974,,,-0.532134578
73,CT7,19.82,12.008,1.839,1.907,3,11.226,17.531,-0.782,-2.289,0.60362297,0.247954744,2.43440783,2.43440783,,,0.326916803
74,EM12.13,18.536,13.201,1.843,1.906,2,11.724,17.977,-1.477,-0.559,0.385707854,0.71051187,0.542859128,0.542859128,,,-0.451498301
75,EM12.14,15.891,11.06,1.843,1.906,2,11.724,17.977,0.664,2.086,1.534622648,3.580023268,0.428662758,0.428662758,,,-0.498492692
76,EM12.15,16.232,11.867,1.843,1.906,2,11.724,17.977,-0.143,1.745,0.911889943,2.906308486,0.313762268,0.313762268,,,-0.545776844
77,EM12.16,17.031,12.137,1.843,1.906,2,11.724,17.977,-0.413,0.946,0.766141952,1.78314626,0.429657381,0.429657381,,,-0.498083382
78,EM12.7,16.525,10.003,1.843,1.906,2,11.724,17.977,1.721,1.452,3.034530483,2.429644799,1.248960541,1.248960541,,,-0.160921588
79,EM12.8,19.112,11.25,1.843,1.906,2,11.724,17.977,0.474,-1.135,1.35762008,0.499607264,2.717374579,2.717374579,,,0.443364024
80,EM39.101,19.619,12.431,1.843,1.906,2,11.724,17.977,-0.707,-1.642,0.633801281,0.366443818,1.729600144,1.729600144,,,0.036872487
81,EM39.102,17.665,14.069,1.843,1.906,2,11.724,17.977,-2.345,0.312,0.220349367,1.210163095,0.182082373,0.182082373,,,-0.599966102
82,EM39.103,18.572,15.202,1.843,1.906,2,11.724,17.977,-3.478,-0.595,0.106104198,0.695044203,0.152658201,0.152658201,,,-0.612074814
83,EM39.104,17.78,13.34,1.843,1.906,2,11.724,17.977,-1.616,0.197,0.35263174,1.127998419,0.312617228,0.312617228,,,-0.546248054
84,EM39.105,17.439,13.975,1.843,1.906,2,11.724,17.977,-2.251,0.538,0.234122612,1.389481057,0.16849644,0.16849644,,,-0.60555702
85,EM39.106,17.921,14.069,1.843,1.906,2,11.724,17.977,-2.345,0.056,0.220349367,1.034830973,0.212932714,0.212932714,,,-0.587270488
86,EP50.370,16.402,10.096,1.839,1.907,3,11.226,17.531,1.13,1.129,2.073940455,1.98935721,1.042517877,1.042517877,,,-0.245877417
87,EP50.371,16.187,10.284,1.839,1.907,3,11.226,17.531,0.942,1.344,1.836920466,2.267763934,0.810013969,0.810013969,,,-0.341558037
88,EP50.372,17.18,11.13,1.839,1.907,3,11.226,17.531,0.096,0.351,1.063931498,1.238420656,0.859103483,0.859103483,,,-0.321356592
89,EP50.373,16.701,12.462,1.839,1.907,3,11.226,17.531,-1.236,0.83,0.450284029,1.6580699,0.271571198,0.271571198,,,-0.563139425
90,EP50.374,18.225,11.912,1.839,1.907,3,11.226,17.531,-0.686,-0.694,0.642213491,0.655209642,0.980164896,0.980164896,,,-0.27153708
91,EP50.375,16.617,10.651,1.839,1.907,3,11.226,17.531,0.575,0.914,1.449444693,1.745129663,0.830565616,0.830565616,,,-0.33310057
92,EP6.35,18.74,13.745,1.843,1.906,2,11.724,17.977,-2.021,-0.763,0.271563643,0.627197284,0.432979622,0.432979622,,,-0.496716205
93,EP6.77,19.883,13.235,1.843,1.906,2,11.724,17.977,-1.511,-1.906,0.377341267,0.311823406,1.21011207,1.21011207,,,-0.176908613
94,EP6.78,26.286,18.12,1.843,1.906,2,11.724,17.977,-6.396,-8.309,0.016156004,0.006219421,2.597669921,2.597669921,,,0.394102848
95,EP6.79,25.066,17.354,1.843,1.906,2,11.724,17.977,-5.63,-7.089,0.026479397,0.013112663,2.019376022,2.019376022,,,0.15612182
96,EP6.80,21.82,14.723,1.843,1.906,2,11.724,17.977,-2.999,-3.843,0.144514503,0.095408295,1.514695368,1.514695368,,,-0.051565692
97,G1,19.33,8.316,1.847,1.848,1,8.581,17.333,0.265,-1.997,1.17672782,0.293674075,4.006917599,4.006917599,,,0.974040164
98,G10,18.252,7.066,1.847,1.848,1,8.581,17.333,1.515,-0.919,2.53544083,0.569006101,4.455911501,4.455911501,,,1.158811317
99,G11,18.95,8.208,1.847,1.848,1,8.581,17.333,0.373,-1.617,1.257418465,0.370785746,3.391226549,3.391226549,,,0.720669362
100,G2,20.96,12.665,1.847,1.848,1,8.581,17.333,-4.084,-3.627,0.081430887,0.108025073,0.753814691,0.753814691,,,-0.364685312
101,G4,18.227,9.84,1.847,1.848,1,8.581,17.333,-1.259,-0.894,0.461553686,0.577801408,0.798810249,0.798810249,,,-0.346168622
102,G5,20.145,8.882,1.847,1.848,1,8.581,17.333,-0.301,-2.812,0.831232869,0.178112783,4.666890574,4.666890574,,,1.245633981
103,G6,19.869,11.029,1.847,1.848,1,8.581,17.333,-2.448,-2.536,0.222389145,0.210979352,1.054080143,1.054080143,,,-0.241119283
104,G7,17.313,7.805,1.847,1.848,1,8.581,17.333,0.776,0.02,1.610499989,1.012346855,1.590857898,1.590857898,,,-0.020223087
105,G8,18.025,9.992,1.847,1.848,1,8.581,17.333,-1.411,-0.692,0.420420152,0.654040901,0.642804068,0.642804068,,,-0.410368696
106,G9,18.371,9.896,1.847,1.848,1,8.581,17.333,-1.315,-1.038,0.445950765,0.528941159,0.843100896,0.843100896,,,-0.327942018
107,GR11.1,18.272,10.449,1.843,1.906,2,11.724,17.977,1.275,-0.295,2.275918431,0.834968374,2.725754054,2.725754054,,,0.446812368
108,GR11.2,24.871,17.865,1.843,1.906,2,11.724,17.977,-6.141,-6.894,0.019044312,0.014772988,1.289130711,1.289130711,,,-0.144390654
109,GR11.3,17.636,10.706,1.843,1.906,2,11.724,17.977,1.018,0.341,1.928257852,1.231811174,1.565384283,1.565384283,,,-0.030706056
110,GR11.4,18.517,11.644,1.843,1.906,2,11.724,17.977,0.08,-0.54,1.05295505,0.718813656,1.464851205,1.464851205,,,-0.072077693
111,GR11.5,16.575,12.244,1.843,1.906,2,11.724,17.977,-0.52,1.402,0.715049478,2.356494986,0.303437725,0.303437725,,,-0.550025627
112,GR11.6,18.474,11.851,1.843,1.906,2,11.724,17.977,-0.127,-0.497,0.921349474,0.737961846,1.248505569,1.248505569,,,-0.161108819
113,GR40.121,16.096,12.633,1.843,1.906,2,11.724,17.977,-0.909,1.881,0.556375871,3.158298365,0.176163176,0.176163176,,,-0.602401985
114,GR40.122,18.461,14.52,1.843,1.906,2,11.724,17.977,-2.796,-0.484,0.164731397,0.743850634,0.221457628,0.221457628,,,-0.583762293
115,GR40.123,17.856,11.45,1.843,1.906,2,11.724,17.977,0.274,0.121,1.193311081,1.07678393,1.108217766,1.108217766,,,-0.218840426
116,GR40.124,18.153,14.51,1.843,1.906,2,11.724,17.977,-2.786,-0.176,0.16579736,0.897981813,0.184633316,0.184633316,,,-0.598916331
117,GR40.125,17.677,12.78,1.843,1.906,2,11.724,17.977,-1.056,0.3,0.506046262,1.201316938,0.421242926,0.421242926,,,-0.501546121
118,GR40.126,18.005,13.444,1.843,1.906,2,11.724,17.977,-1.72,-0.028,0.329752896,0.983026647,0.335446549,0.335446549,,,-0.536853272
119,IO29.1,14.865,11.807,1.839,1.907,3,11.226,17.531,-0.581,2.666,0.687252372,5.074285399,0.135438257,0.135438257,,,-0.619161211
120,IO29.11,16.618,11.981,1.839,1.907,3,11.226,17.531,-0.755,0.913,0.614235944,1.744066815,0.352186016,0.352186016,,,-0.529964602
121,IO29.2,15.913,11.64,1.839,1.907,3,11.226,17.531,-0.414,1.618,0.765481701,2.679743572,0.285654832,0.285654832,,,-0.55734369
122,IO29.3,16.78,10.903,1.839,1.907,3,11.226,17.531,0.323,0.751,1.231837083,1.580159326,0.779565113,0.779565113,,,-0.354088431
123,IO29.5,16.604,12.252,1.839,1.907,3,11.226,17.531,-1.026,0.927,0.515656135,1.759005766,0.293152044,0.293152044,,,-0.554258418
124,IO29.9,17.179,12.371,1.839,1.907,3,11.226,17.531,-1.145,0.352,0.477527576,1.239175358,0.385359161,0.385359161,,,-0.516313102
125,IO43.74,18.256,10.174,1.839,1.907,3,11.226,17.531,1.052,-0.725,1.972099982,0.642951548,3.067260648,3.067260648,,,0.587350061
126,IO43.75,16.589,11.1,1.839,1.907,3,11.226,17.531,0.126,0.942,1.084736334,1.77515381,0.61106611,0.61106611,,,-0.423429584
127,IO43.86,18.212,8.702,1.839,1.907,3,11.226,17.531,2.524,-0.681,5.100410713,0.660419431,7.722987054,7.722987054,,,2.503286854
